unique_id,worker_id,gender,english_first_language,age_group,education,dataset
1,85,female,0,18-30,bachelors,toxicity
2,1617,female,0,45-60,bachelors,toxicity
3,1394,female,0,,bachelors,toxicity
4,311,male,0,30-45,bachelors,toxicity
5,1980,male,0,45-60,masters,toxicity
6,1824,male,0,18-30,hs,toxicity
7,296,male,0,18-30,hs,toxicity
8,3937,male,0,30-45,professional,toxicity
9,1512,female,0,30-45,masters,toxicity
10,581,male,0,30-45,hs,toxicity
11,3980,female,0,30-45,bachelors,toxicity
12,5,male,0,18-30,professional,toxicity
13,2832,female,1,30-45,some,toxicity
14,178,male,0,30-45,masters,toxicity
15,1669,male,0,30-45,bachelors,toxicity
16,533,male,0,30-45,bachelors,toxicity
17,485,female,1,30-45,doctorate,toxicity
18,168,male,0,18-30,bachelors,toxicity
19,4060,male,0,30-45,hs,toxicity
20,1855,female,0,45-60,hs,toxicity
21,1226,male,1,18-30,bachelors,toxicity
22,469,male,0,30-45,bachelors,toxicity
23,947,male,0,18-30,bachelors,toxicity
24,50,male,0,30-45,hs,toxicity
25,3888,male,0,30-45,hs,toxicity
26,3852,female,0,18-30,professional,toxicity
27,1812,male,0,18-30,bachelors,toxicity
28,525,female,0,18-30,masters,toxicity
29,263,male,0,18-30,hs,toxicity
30,1826,female,0,18-30,masters,toxicity
31,19,male,0,30-45,bachelors,toxicity
32,39,male,0,45-60,hs,toxicity
33,79,male,0,30-45,professional,toxicity
34,3622,male,0,18-30,bachelors,toxicity
35,351,male,0,30-45,professional,toxicity
36,799,female,0,,masters,toxicity
37,144,female,1,18-30,bachelors,toxicity
38,176,male,0,45-60,hs,toxicity
39,13,male,0,18-30,hs,toxicity
40,1550,male,0,18-30,professional,toxicity
41,212,male,0,30-45,masters,toxicity
42,345,male,0,30-45,professional,toxicity
43,2738,male,1,18-30,bachelors,toxicity
44,544,male,0,18-30,hs,toxicity
45,98,female,0,30-45,hs,toxicity
46,126,female,0,45-60,bachelors,toxicity
47,1756,female,0,18-30,bachelors,toxicity
48,242,male,0,30-45,masters,toxicity
49,3788,male,0,45-60,professional,toxicity
50,1505,male,0,18-30,masters,toxicity
51,350,male,1,45-60,hs,toxicity
52,3221,male,0,,hs,toxicity
53,48,male,0,30-45,bachelors,toxicity
54,1521,male,1,18-30,bachelors,toxicity
55,845,female,0,45-60,hs,toxicity
56,118,male,0,18-30,bachelors,toxicity
57,1773,male,0,18-30,bachelors,toxicity
58,444,male,0,18-30,masters,toxicity
59,1583,male,0,30-45,bachelors,toxicity
60,423,male,1,18-30,professional,toxicity
61,3471,female,0,30-45,hs,toxicity
62,3554,male,0,18-30,hs,toxicity
63,685,male,0,18-30,hs,toxicity
64,1268,female,0,18-30,bachelors,toxicity
65,201,male,0,30-45,hs,toxicity
66,1612,female,0,18-30,bachelors,toxicity
67,1266,male,0,18-30,professional,toxicity
68,67,male,0,30-45,professional,toxicity
69,3099,female,0,30-45,hs,toxicity
70,774,female,0,18-30,hs,toxicity
71,1898,male,0,18-30,professional,toxicity
72,3691,female,0,30-45,doctorate,toxicity
73,3369,female,0,30-45,professional,toxicity
74,1909,male,0,18-30,professional,toxicity
75,807,male,1,18-30,professional,toxicity
76,3421,male,0,30-45,bachelors,toxicity
77,105,female,0,30-45,hs,toxicity
78,80,male,0,18-30,bachelors,toxicity
79,446,male,0,45-60,bachelors,toxicity
80,209,female,0,30-45,bachelors,toxicity
81,1666,female,0,18-30,bachelors,toxicity
82,445,male,0,45-60,hs,toxicity
83,2009,male,0,30-45,hs,toxicity
84,1514,male,0,Under 18,hs,toxicity
85,517,male,0,45-60,hs,toxicity
86,2460,male,0,18-30,hs,toxicity
87,1290,male,0,18-30,bachelors,toxicity
88,114,female,0,45-60,professional,toxicity
89,1788,female,0,30-45,bachelors,toxicity
90,260,male,0,30-45,hs,toxicity
91,1242,male,0,18-30,professional,toxicity
92,12,male,1,30-45,bachelors,toxicity
93,73,male,0,30-45,professional,toxicity
94,1960,male,0,30-45,bachelors,toxicity
95,3530,female,0,30-45,bachelors,toxicity
