	Team	Year	Games	Wins	Win Rate
0	Akron	2013	12	5	0.4167
1	Alabama	2013	13	11	0.8462
2	Arizona	2013	13	8	0.6154
3	Arizona St.	2013	14	10	0.7143
4	Arkansas	2013	12	3	0.25
5	Arkansas St.	2013	13	8	0.6154
6	Army West Point	2013	12	3	0.25
7	Auburn	2013	14	12	0.8571
8	Ball St.	2013	13	10	0.7692
9	Baylor	2013	13	11	0.8462
10	Boston College	2013	13	7	0.5385
11	Bowling Green	2013	14	10	0.7143
12	Buffalo	2013	13	8	0.6154
13	BYU	2013	13	8	0.6154
14	California	2013	12	1	0.0833
15	Central Mich.	2013	12	6	0.5
16	Cincinnati	2013	13	9	0.6923
17	Clemson	2013	13	11	0.8462
18	Colorado	2013	12	4	0.3333
19	Duke	2013	14	10	0.7143
20	East Carolina	2013	13	10	0.7692
21	Eastern Mich.	2013	12	2	0.1667
22	FIU	2013	12	1	0.0833
23	Fla. Atlantic	2013	12	6	0.5
24	Florida	2013	12	4	0.3333
25	Florida St.	2013	14	14	1.0
26	Georgia	2013	13	8	0.6154
27	Georgia Tech	2013	13	7	0.5385
28	Houston	2013	13	8	0.6154
29	Idaho	2013	12	1	0.0833
30	Illinois	2013	12	4	0.3333
31	Indiana	2013	12	5	0.4167
32	Iowa	2013	13	8	0.6154
33	Iowa St.	2013	12	3	0.25
34	Kansas	2013	12	3	0.25
35	Kansas St.	2013	13	8	0.6154
36	Kent St.	2013	12	4	0.3333
37	Kentucky	2013	12	2	0.1667
38	La.-Monroe	2013	12	6	0.5
39	Louisiana	2013	13	9	0.6923
40	Louisiana Tech	2013	12	4	0.3333
41	Louisville	2013	13	12	0.9231
42	LSU	2013	13	10	0.7692
43	Marshall	2013	14	10	0.7143
44	Maryland	2013	13	7	0.5385
45	Massachusetts	2013	12	1	0.0833
46	Memphis	2013	12	3	0.25
47	Miami	2013	13	9	0.6923
48	Miami	2013	12	0	0.0
49	Michigan	2013	13	7	0.5385
50	Michigan St.	2013	14	13	0.9286
51	Middle Tenn.	2013	13	8	0.6154
52	Minnesota	2013	13	8	0.6154
53	Mississippi St.	2013	13	7	0.5385
54	Missouri	2013	14	12	0.8571
55	Navy	2013	13	9	0.6923
56	NC State	2013	12	3	0.25
57	Nebraska	2013	13	9	0.6923
58	New Mexico St.	2013	12	2	0.1667
59	North Carolina	2013	13	7	0.5385
60	North Texas	2013	13	9	0.6923
61	Northern Ill.	2013	14	12	0.8571
62	Northwestern	2013	12	5	0.4167
63	Notre Dame	2013	13	9	0.6923
64	Ohio	2013	13	7	0.5385
65	Ohio St.	2013	14	12	0.8571
66	Oklahoma	2013	13	11	0.8462
67	Oklahoma St.	2013	13	10	0.7692
68	Ole Miss	2013	13	8	0.6154
69	Oregon	2013	13	11	0.8462
70	Oregon St.	2013	13	7	0.5385
71	Penn St.	2013	12	7	0.5833
72	Pittsburgh	2013	13	7	0.5385
73	Purdue	2013	12	1	0.0833
74	Rice	2013	14	10	0.7143
75	Rutgers	2013	13	6	0.4615
76	SMU	2013	12	5	0.4167
77	South Alabama	2013	12	6	0.5
78	South Carolina	2013	13	11	0.8462
79	South Fla.	2013	12	2	0.1667
80	Southern California	2013	14	10	0.7143
81	Southern Miss.	2013	12	1	0.0833
82	Stanford	2013	14	11	0.7857
83	Syracuse	2013	13	7	0.5385
84	TCU	2013	12	4	0.3333
85	Temple	2013	12	2	0.1667
86	Tennessee	2013	12	5	0.4167
87	Texas	2013	13	8	0.6154
88	Texas A&M	2013	13	9	0.6923
89	Texas St.	2013	12	6	0.5
90	Texas Tech	2013	13	8	0.6154
91	Toledo	2013	12	7	0.5833
92	Troy	2013	12	6	0.5
93	Tulane	2013	13	7	0.5385
94	Tulsa	2013	12	3	0.25
95	UAB	2013	12	2	0.1667
96	UCF	2013	13	12	0.9231
97	UCLA	2013	13	10	0.7692
98	UConn	2013	12	3	0.25
99	Utah	2013	12	5	0.4167
100	UTEP	2013	12	2	0.1667
101	Vanderbilt	2013	13	9	0.6923
102	Virginia	2013	12	2	0.1667
103	Virginia Tech	2013	13	8	0.6154
104	Wake Forest	2013	12	4	0.3333
105	Washington	2013	13	9	0.6923
106	Washington St.	2013	13	6	0.4615
107	West Virginia	2013	12	4	0.3333
108	Western Ky.	2013	12	8	0.6667
109	Western Mich.	2013	12	1	0.0833
110	Wisconsin	2013	13	9	0.6923
0	Akron	2014	12	5	0.4167
1	Alabama	2014	14	12	0.8571
2	Arizona	2014	14	10	0.7143
3	Arizona St.	2014	13	10	0.7692
4	Arkansas	2014	13	7	0.5385
5	Arkansas St.	2014	13	7	0.5385
6	Army West Point	2014	12	4	0.3333
7	Auburn	2014	13	8	0.6154
8	Ball St.	2014	12	5	0.4167
9	Baylor	2014	13	11	0.8462
10	Boston College	2014	13	7	0.5385
11	Bowling Green	2014	14	8	0.5714
12	Buffalo	2014	11	5	0.4545
13	BYU	2014	13	8	0.6154
14	California	2014	12	5	0.4167
15	Central Mich.	2014	13	7	0.5385
16	Cincinnati	2014	13	9	0.6923
17	Clemson	2014	13	10	0.7692
18	Colorado	2014	12	2	0.1667
19	Duke	2014	13	9	0.6923
20	East Carolina	2014	13	8	0.6154
21	Eastern Mich.	2014	12	2	0.1667
22	FIU	2014	12	4	0.3333
23	Fla. Atlantic	2014	12	3	0.25
24	Florida	2014	12	7	0.5833
25	Florida St.	2014	14	13	0.9286
26	Georgia	2014	13	10	0.7692
27	Georgia St.	2014	12	1	0.0833
28	Georgia Tech	2014	14	11	0.7857
29	Houston	2014	13	8	0.6154
30	Idaho	2014	11	1	0.0909
31	Illinois	2014	13	6	0.4615
32	Indiana	2014	12	4	0.3333
33	Iowa	2014	13	7	0.5385
34	Iowa St.	2014	12	2	0.1667
35	Kansas	2014	12	3	0.25
36	Kansas St.	2014	13	9	0.6923
37	Kent St.	2014	11	2	0.1818
38	Kentucky	2014	12	5	0.4167
39	La.-Monroe	2014	12	4	0.3333
40	Louisiana	2014	13	9	0.6923
41	Louisiana Tech	2014	14	9	0.6429
42	Louisville	2014	13	9	0.6923
43	LSU	2014	13	8	0.6154
44	Marshall	2014	14	13	0.9286
45	Maryland	2014	13	7	0.5385
46	Massachusetts	2014	12	3	0.25
47	Memphis	2014	13	10	0.7692
48	Miami	2014	13	6	0.4615
49	Miami	2014	12	2	0.1667
50	Michigan	2014	12	5	0.4167
51	Michigan St.	2014	13	11	0.8462
52	Middle Tenn.	2014	12	6	0.5
53	Minnesota	2014	13	8	0.6154
54	Mississippi St.	2014	13	10	0.7692
55	Missouri	2014	14	11	0.7857
56	Navy	2014	13	8	0.6154
57	NC State	2014	13	8	0.6154
58	Nebraska	2014	13	9	0.6923
59	New Mexico St.	2014	12	2	0.1667
60	North Carolina	2014	13	6	0.4615
61	North Texas	2014	12	4	0.3333
62	Northern Ill.	2014	14	11	0.7857
63	Northwestern	2014	12	5	0.4167
64	Notre Dame	2014	13	8	0.6154
65	Ohio	2014	12	6	0.5
66	Ohio St.	2014	15	14	0.9333
67	Oklahoma	2014	13	8	0.6154
68	Oklahoma St.	2014	13	7	0.5385
69	Ole Miss	2014	13	9	0.6923
70	Oregon	2014	15	13	0.8667
71	Oregon St.	2014	12	5	0.4167
72	Penn St.	2014	13	7	0.5385
73	Pittsburgh	2014	13	6	0.4615
74	Purdue	2014	12	3	0.25
75	Rice	2014	13	8	0.6154
76	Rutgers	2014	13	8	0.6154
77	SMU	2014	12	1	0.0833
78	South Alabama	2014	13	6	0.4615
79	South Carolina	2014	13	7	0.5385
80	South Fla.	2014	12	4	0.3333
81	Southern California	2014	13	9	0.6923
82	Southern Miss.	2014	12	3	0.25
83	Stanford	2014	13	8	0.6154
84	Syracuse	2014	12	3	0.25
85	TCU	2014	13	12	0.9231
86	Temple	2014	12	6	0.5
87	Tennessee	2014	13	7	0.5385
88	Texas	2014	13	6	0.4615
89	Texas A&M	2014	13	8	0.6154
90	Texas St.	2014	12	7	0.5833
91	Texas Tech	2014	12	4	0.3333
92	Toledo	2014	13	9	0.6923
93	Troy	2014	12	3	0.25
94	Tulane	2014	12	3	0.25
95	Tulsa	2014	12	2	0.1667
96	UAB	2014	12	6	0.5
97	UCF	2014	13	9	0.6923
98	UCLA	2014	13	10	0.7692
99	UConn	2014	12	2	0.1667
100	Utah	2014	13	9	0.6923
101	UTEP	2014	13	7	0.5385
102	UTSA	2014	12	4	0.3333
103	Vanderbilt	2014	12	3	0.25
104	Virginia	2014	12	5	0.4167
105	Virginia Tech	2014	13	7	0.5385
106	Wake Forest	2014	12	3	0.25
107	Washington	2014	14	8	0.5714
108	Washington St.	2014	12	3	0.25
109	West Virginia	2014	13	7	0.5385
110	Western Ky.	2014	13	8	0.6154
111	Western Mich.	2014	13	8	0.6154
112	Wisconsin	2014	14	11	0.7857
0	Akron	2015	13	8	0.6154
1	Alabama	2015	15	14	0.9333
2	Appalachian St.	2015	13	11	0.8462
3	Arizona	2015	13	7	0.5385
4	Arizona St.	2015	13	6	0.4615
5	Arkansas	2015	13	8	0.6154
6	Arkansas St.	2015	13	9	0.6923
7	Army West Point	2015	12	2	0.1667
8	Auburn	2015	13	7	0.5385
9	Ball St.	2015	12	3	0.25
10	Baylor	2015	13	10	0.7692
11	Boston College	2015	12	3	0.25
12	Bowling Green	2015	14	10	0.7143
13	Buffalo	2015	12	5	0.4167
14	BYU	2015	13	9	0.6923
15	California	2015	13	8	0.6154
16	Central Mich.	2015	13	7	0.5385
17	Cincinnati	2015	13	7	0.5385
18	Clemson	2015	15	14	0.9333
19	Colorado	2015	13	4	0.3077
20	Duke	2015	13	8	0.6154
21	East Carolina	2015	12	5	0.4167
22	Eastern Mich.	2015	12	1	0.0833
23	FIU	2015	12	5	0.4167
24	Fla. Atlantic	2015	12	3	0.25
25	Florida	2015	14	10	0.7143
26	Florida St.	2015	13	10	0.7692
27	Ga. Southern	2015	13	9	0.6923
28	Georgia	2015	13	10	0.7692
29	Georgia St.	2015	13	6	0.4615
30	Georgia Tech	2015	12	3	0.25
31	Houston	2015	14	13	0.9286
32	Idaho	2015	12	4	0.3333
33	Illinois	2015	12	5	0.4167
34	Indiana	2015	13	6	0.4615
35	Iowa	2015	14	12	0.8571
36	Iowa St.	2015	12	3	0.25
37	Kansas	2015	12	0	0.0
38	Kansas St.	2015	13	6	0.4615
39	Kent St.	2015	12	3	0.25
40	Kentucky	2015	12	5	0.4167
41	La.-Monroe	2015	13	2	0.1538
42	Louisiana	2015	12	4	0.3333
43	Louisiana Tech	2015	13	9	0.6923
44	Louisville	2015	13	8	0.6154
45	LSU	2015	12	9	0.75
46	Marshall	2015	13	10	0.7692
47	Maryland	2015	12	3	0.25
48	Massachusetts	2015	12	3	0.25
49	Memphis	2015	13	9	0.6923
50	Miami	2015	13	8	0.6154
51	Miami	2015	12	3	0.25
52	Michigan	2015	13	10	0.7692
53	Michigan St.	2015	14	12	0.8571
54	Middle Tenn.	2015	13	7	0.5385
55	Minnesota	2015	13	6	0.4615
