	INSTNM	HIGHDEG	CONTROL	ADM_RATE2020	UGDS2020	ADM_RATE2019	ADM_RATE2018	ADM_RATE2017	ADM_RATE2016	ADM_RATE2015	ADM_RATE2014	ADM_RATE2013
0	Alabama A & M University	4	1	0.8965	5090.0	0.9175	0.8986	0.9027	0.8738	0.6538	0.5256	0.8989
1	University of Alabama at Birmingham	4	1	0.806	13549.0	0.7366	0.9211	0.9181	0.5814	0.6043	0.8569	0.8673
2	University of Alabama in Huntsville	4	1	0.7711	7825.0	0.8257	0.8087	0.8123	0.7628	0.812	0.8203	0.8062
3	Alabama State University	4	1	0.9888	3603.0	0.969	0.9774	0.9787	0.459	0.4639	0.5326	0.5125
4	The University of Alabama	4	1	0.8039	30610.0	0.8268	0.5906	0.533	0.5259	0.5359	0.5105	0.5655
5	Auburn University at Montgomery	4	1	0.9555	4301.0	0.9044	0.9281	0.824	0.7659	0.7871	0.8017	0.8371
6	Auburn University	4	1	0.8507	24368.0	0.8067	0.7543	0.8393	0.8054	0.7766	0.8347	0.8274
7	Jacksonville State University	4	1	0.6369	6776.0	0.5479	0.543	0.5402	0.5308	0.6665	0.8326	0.8326
8	University of North Alabama	4	1	0.8266	5411.0	0.8878	0.6434	0.7022	0.5574	0.58	0.6788	0.8092
9	University of South Alabama	4	1	0.7303	8787.0	0.7869	0.7931	0.8208	0.805	0.7816	0.8351	0.8604
10	Troy University	4	1	0.9243	12294.0	0.8757	0.8767	0.8812	0.9125	0.9187	0.7326	0.6821
11	University of Alaska Anchorage	4	1	0.7683	8257.0	0.8296	0.8115	0.8283	0.8285	0.706		
12	University of Alaska Fairbanks	4	1	0.6701	4259.0	0.7599	0.7611	0.767	0.7347	0.731		
13	Arizona State University Campus Immersion	4	1	0.8837	62633.0	0.8647	0.8478	0.8415	0.825	0.8291	0.8433	0.8023
14	University of Arizona	4	1	0.8513	34659.0	0.8459	0.8442	0.8358	0.7862	0.7643	0.7462	0.7692
15	Northern Arizona University	4	1	0.8164	24880.0	0.8489	0.8262	0.8085	0.7804	0.7687	0.8099	0.9137
16	University of Arkansas at Little Rock	4	1	0.5604	5620.0	0.6582	0.7933	0.7463	0.8983	0.8983	0.5928	0.5274
17	University of Arkansas	4	1	0.7767	22624.0	0.7709	0.7747	0.6596	0.632	0.6006	0.6204	0.5858
18	Arkansas State University	4	1	0.6719	7739.0	0.7991	0.7721	0.6602	0.704	0.7024	0.7239	0.7551
19	Arkansas Tech University	4	1	0.9766	7384.0	0.9474	0.9024	0.9475	0.6391	0.8911	0.8626	0.8503
