INSTNM,HIGHDEG,CONTROL,ADM_RATE,ADM_RATE_ALL,UGDS
Community College of the Air Force,0,1,NULL,NULL,0
Alabama A & M University,4,1,0.5438,0.5438,4081
University of Alabama at Birmingham,4,1,0.7223,0.7223,11014
Amridge University,4,2,NULL,NULL,338
University of Alabama in Huntsville,4,1,0.7766,0.7766,5703
Alabama State University,4,1,0.4604,0.4604,5123
The University of Alabama,4,1,0.5308,0.5308,27364
Central Alabama Community College,2,1,NULL,NULL,1898
Athens State University,3,1,NULL,NULL,3250
Auburn University at Montgomery,4,1,0.7395,0.7395,4119
Auburn University,4,1,0.7723,0.7723,20137
Birmingham-Southern College,3,2,0.6522,0.6522,1226
Chattahoochee Valley Community College,2,1,NULL,NULL,1645
Concordia College Alabama,3,2,NULL,NULL,611
South University-Montgomery,4,3,0.7397,0.5647,704
Enterprise State Community College,2,1,NULL,NULL,2166
Coastal Alabama Community College,2,1,NULL,NULL,4212
Faulkner University,4,2,NULL,NULL,2528
Gadsden State Community College,2,1,NULL,NULL,5600
New Beginning College of Cosmetology,1,3,NULL,NULL,108
George C Wallace Community College-Dothan,2,1,NULL,NULL,4227
George C Wallace State Community College-Hanceville,2,1,NULL,NULL,4960
George C Wallace State Community College-Selma,2,1,NULL,NULL,1671
Herzing University-Birmingham,3,3,0.8222,0.8252,295
Huntingdon College,3,2,0.6054,0.6054,1103
Heritage Christian University,4,2,NULL,NULL,62
J. F. Drake State Community and Technical College,2,1,NULL,NULL,959
J F Ingram State Technical College,2,1,NULL,NULL,437
Jacksonville State University,4,1,0.8232,0.8232,7654
Jefferson Davis Community College,2,1,NULL,NULL,1034
Jefferson State Community College,2,1,NULL,NULL,7862
John C Calhoun State Community College,2,1,NULL,NULL,8690
Judson College,3,2,0.8155,0.8155,346
Lawson State Community College,2,1,NULL,NULL,3224
University of West Alabama,4,1,0.4856,0.4856,2089
Lurleen B Wallace Community College,2,1,NULL,NULL,1440
Marion Military Institute,2,1,0.6737,0.6737,378
Miles College,3,2,NULL,NULL,1687
University of Mobile,4,2,0.8035,0.8035,1542
University of Montevallo,4,1,0.7772,0.7772,2588
Northwest-Shoals Community College,2,1,NULL,NULL,3231
University of North Alabama,4,1,0.8847,0.8847,5723
Northeast Alabama Community College,2,1,NULL,NULL,2750
Oakwood University,4,2,0.3169,0.3169,1947
Alabama Southern Community College,2,1,NULL,NULL,1181
Prince Institute-Southeast,2,3,NULL,NULL,122
Reid State Technical College,2,1,NULL,NULL,455
Bishop State Community College,2,1,NULL,NULL,3362
Samford University,4,2,0.7563,0.7563,2948
Selma University,4,2,NULL,NULL,465
Shelton State Community College,2,1,NULL,NULL,4932
Snead State Community College,2,1,NULL,NULL,2208
University of South Alabama,4,1,0.8719,0.8719,11054
Spring Hill College,4,2,0.4743,0.4743,1165
Southeastern Bible College,3,2,1,1,179
Stillman College,3,2,0.4095,0.4095,1019
Talladega College,3,2,NULL,NULL,1203
H Councill Trenholm State Community College,2,1,NULL,NULL,1398
Troy University,4,1,0.6229,0.6229,17765
Tuskegee University,4,2,0.6451,0.6451,2605
United States Sports Academy,4,2,NULL,NULL,109
Bevill State Community College,2,1,NULL,NULL,3471
University of Alaska Anchorage,4,1,NULL,NULL,13200
Alaska Bible College,3,2,NULL,NULL,33
University of Alaska Fairbanks,4,1,NULL,NULL,5756
University of Alaska Southeast,4,1,NULL,NULL,1536
Alaska Pacific University,4,2,0.6323,0.6323,436
Alaska Vocational Technical Center,1,1,0.5745,0.5745,1011
Charter College,3,3,NULL,NULL,1259
Prince William Sound Community College,2,1,NULL,NULL,159
Alaska Career College,2,3,NULL,NULL,228
Everest College-Phoenix,3,3,NULL,NULL,1578
Collins College,3,3,NULL,NULL,589
Empire Beauty School-Paradise Valley,1,3,NULL,NULL,74
Empire Beauty School-Tucson,1,3,NULL,NULL,164
Thunderbird School of Global Management,4,2,NULL,NULL,3
American Indian College Inc,3,2,NULL,NULL,73
American Institute of Trucking,1,3,NULL,NULL,474
Carrington College-Phoenix North,3,3,1,1,560
Carrington College-Mesa,2,3,1,1,685
Carrington College-Tucson,2,3,1,1,399
CollegeAmerica-Flagstaff,3,3,NULL,NULL,255
Arizona Academy of Beauty,1,3,NULL,NULL,54
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,NULL,726
