INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.5256,4206
University of Alabama at Birmingham,4,1,0.8569,11383
Amridge University,4,2,NULL,291
University of Alabama in Huntsville,4,1,0.8203,5451
Alabama State University,4,1,0.5326,4811
The University of Alabama,4,1,0.5105,29851
Central Alabama Community College,2,1,NULL,1592
Athens State University,3,1,NULL,2991
Auburn University at Montgomery,4,1,0.8017,4304
Auburn University,4,1,0.8347,20514
Birmingham-Southern College,3,2,0.5339,1180
Chattahoochee Valley Community College,2,1,NULL,1727
Concordia College Alabama,3,2,0.5328,322
South University-Montgomery,4,3,NULL,522
Enterprise State Community College,2,1,NULL,1729
Coastal Alabama Community College,2,1,NULL,4286
Faulkner University,4,2,NULL,2367
Gadsden State Community College,2,1,NULL,4917
New Beginning College of Cosmetology,1,3,NULL,115
George C Wallace Community College-Dothan,2,1,NULL,4293
George C Wallace State Community College-Hanceville,2,1,NULL,4920
George C Wallace State Community College-Selma,2,1,NULL,1513
Herzing University-Birmingham,4,3,1,302
Huntingdon College,3,2,0.5839,1149
Heritage Christian University,4,2,1,62
J. F. Drake State Community and Technical College,2,1,NULL,974
J F Ingram State Technical College,2,1,NULL,473
Jacksonville State University,4,1,0.8326,7060
Jefferson Davis Community College,2,1,NULL,1033
Jefferson State Community College,2,1,NULL,7443
John C Calhoun State Community College,2,1,NULL,9380
Judson College,3,2,0.6525,376
Lawson State Community College,2,1,NULL,2905
University of West Alabama,4,1,0.7199,1916
Lurleen B Wallace Community College,2,1,NULL,1393
Marion Military Institute,2,1,0.6139,433
Miles College,3,2,NULL,1778
University of Mobile,4,2,0.5847,1460
University of Montevallo,4,1,0.743,2644
Northwest-Shoals Community College,2,1,NULL,3304
University of North Alabama,4,1,0.6788,5485
Northeast Alabama Community College,2,1,NULL,2225
Oakwood University,4,2,0.4787,1878
Alabama Southern Community College,2,1,NULL,1180
Prince Institute-Southeast,2,3,NULL,84
Reid State Technical College,2,1,NULL,425
Bishop State Community College,2,1,NULL,2927
Samford University,4,2,0.8191,3033
Selma University,4,2,NULL,472
Shelton State Community College,2,1,NULL,4755
Snead State Community College,2,1,NULL,2098
University of South Alabama,4,1,0.8351,11267
Spring Hill College,4,2,0.5177,1215
Southeastern Bible College,3,2,1,170
Stillman College,3,2,0.5901,1056
Talladega College,3,2,NULL,819
H Councill Trenholm State Community College,2,1,NULL,1230
Troy University,4,1,0.7326,15025
Tuskegee University,4,2,0.4922,2588
United States Sports Academy,4,2,NULL,90
Bevill State Community College,2,1,NULL,3210
University of Alaska Anchorage,4,1,NULL,12865
Alaska Bible College,3,2,NULL,27
University of Alaska Fairbanks,4,1,NULL,5536
University of Alaska Southeast,4,1,NULL,1428
Alaska Pacific University,4,2,0.4207,275
Alaska Vocational Technical Center,2,1,NULL,889
Charter College,3,3,NULL,3256
Alaska Career College,2,3,NULL,479
Everest College-Phoenix,3,3,NULL,4102
Collins College,3,3,NULL,83
Empire Beauty School-Paradise Valley,1,3,NULL,25
Empire Beauty School-Tucson,1,3,NULL,126
Thunderbird School of Global Management,4,2,NULL,1
American Indian College Inc,3,2,NULL,89
American Institute of Trucking,1,3,NULL,266
Carrington College-Phoenix North,3,3,0.9904,617
Carrington College-Mesa,2,3,1,718
Carrington College-Tucson,2,3,1,424
CollegeAmerica-Flagstaff,3,2,NULL,176
Arizona Academy of Beauty,1,3,NULL,32
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,628
Brookline College-Phoenix,4,3,NULL,1357
Arizona State University Campus Immersion,4,1,0.8433,39316
Arizona Western College,2,1,NULL,7218
University of Arizona,4,1,0.7462,32646
Southwest University of Visual Arts-Tucson,4,3,NULL,161
Central Arizona College,2,1,NULL,5275
Brown Mackie College-Tucson,3,3,NULL,611
